pr_id,build_result,git_branch,last_build_result_branch,time_elapse_branch,committer_history,committer_recent,committer_exp,project_history,project_recent,days_last_failed
3,0,78,1,0,0.0,0.0,0.0,0.0,0.0,0
4,0,78,0,9,0.0,0.0,0.0,1.0,1.0,9
5,0,53,1,0,0.0,0.0,0.0,1.0,1.0,0
6,0,78,0,8,1.0,1.0,0.0,1.0,1.0,8
7,0,53,0,0,1.0,1.0,0.6931471805599453,1.0,1.0,0
8,0,78,0,10,0.0,0.0,0.0,1.0,1.0,10
9,0,157,1,0,0.0,0.0,0.0,1.0,1.0,0
10,0,157,0,0,1.0,1.0,0.0,1.0,1.0,0
11,1,78,0,43,0.0,0.0,0.0,1.0,1.0,43
12,0,78,1,6,0.0,0.0,0.0,0.8888888888888888,1.0,50
13,1,78,0,17,1.0,1.0,0.0,0.9,1.0,17
14,0,78,1,15,0.5,0.5,0.6931471805599453,0.8181818181818182,1.0,33
15,0,78,0,4,0.0,0.0,0.0,0.8333333333333334,1.0,4
16,0,78,0,3,0.6666666666666666,0.6666666666666666,1.0986122886681098,0.8461538461538461,1.0,3
17,0,78,0,0,0.75,0.75,1.3862943611198906,0.8571428571428571,1.0,0
18,1,78,0,0,0.8,0.8,1.6094379124341003,0.8666666666666667,1.0,0
19,0,78,1,22,1.0,1.0,0.6931471805599453,0.8125,1.0,23
20,0,78,0,1,0.0,0.0,0.0,0.8235294117647058,1.0,1
21,0,78,0,1,0.0,0.0,0.0,0.8333333333333334,1.0,1
22,0,78,0,1,0.0,0.0,0.0,0.8421052631578947,1.0,1
23,0,78,0,9,0.0,0.0,0.0,0.85,1.0,9
24,0,78,0,9,0.0,0.0,0.0,0.8571428571428571,1.0,9
25,0,78,0,10,1.0,1.0,0.0,0.8636363636363636,1.0,10
26,1,78,0,0,1.0,1.0,0.6931471805599453,0.8695652173913043,1.0,0
27,1,78,1,3,0.6666666666666666,0.6666666666666666,1.0986122886681098,0.8333333333333334,1.0,4
28,0,78,1,12,0.5,0.5,1.3862943611198906,0.8,1.0,16
29,0,78,0,8,0.0,0.0,0.0,0.8076923076923077,1.0,8
30,0,78,0,1,0.0,0.0,0.0,0.8148148148148148,1.0,1
31,0,78,0,13,0.0,0.0,0.0,0.8214285714285714,1.0,13
32,0,78,0,23,0.0,0.0,0.0,0.8275862068965517,1.0,23
33,1,78,0,0,1.0,1.0,0.0,0.8333333333333334,1.0,0
34,1,78,1,4,0.0,0.0,0.0,0.8064516129032258,1.0,5
35,1,78,1,6,0.5,0.5,0.6931471805599453,0.78125,1.0,12
36,1,78,1,10,0.0,0.0,0.0,0.7575757575757576,1.0,22
37,0,78,1,2,0.0,0.0,0.0,0.7352941176470589,1.0,25
38,1,78,0,9,0.6666666666666666,0.8,1.791759469228055,0.7428571428571429,1.0,9
39,1,78,1,15,0.0,0.0,0.0,0.7222222222222222,1.0,24
40,1,78,1,0,0.0,0.0,0.0,0.7027027027027027,1.0,25
41,0,78,1,0,0.0,0.0,0.0,0.6842105263157895,1.0,26
42,1,78,0,5,1.0,1.0,0.0,0.6923076923076923,1.0,5
43,0,78,1,4,0.0,0.0,0.0,0.675,1.0,10
44,1,78,0,0,0.0,0.0,0.0,0.6829268292682927,1.0,0
45,1,78,1,11,0.5714285714285714,0.8,1.9459101490553132,0.6666666666666666,1.0,11
46,1,78,1,0,0.5,0.8,2.0794415416798357,0.6511627906976745,1.0,11
47,1,78,1,0,0.4444444444444444,0.8,2.1972245773362196,0.6363636363636364,1.0,12
48,1,78,1,1,0.4,0.8,2.302585092994046,0.6222222222222222,1.0,13
49,1,78,1,3,0.0,0.0,0.0,0.6086956521739131,1.0,17
50,1,78,1,0,0.0,0.0,0.0,0.5957446808510638,1.0,17
51,1,78,1,2,0.0,0.0,0.0,0.5833333333333334,1.0,20
52,1,78,1,1,0.0,0.0,0.6931471805599453,0.5714285714285714,1.0,21
53,0,78,1,9,0.0,0.0,1.0986122886681098,0.56,1.0,30
54,1,78,0,1,0.0,0.0,0.0,0.5686274509803921,1.0,1
55,1,78,1,3,0.0,0.0,0.0,0.5576923076923077,1.0,5
56,0,78,1,0,0.0,0.0,0.6931471805599453,0.5471698113207547,1.0,5
57,0,78,0,0,0.0,0.0,0.0,0.5555555555555556,1.0,0
58,0,78,0,0,0.0,0.0,0.0,0.5636363636363636,1.0,0
59,1,78,0,4,0.36363636363636365,0.8,2.3978952727983707,0.5714285714285714,1.0,4
60,0,78,1,0,1.0,1.0,0.0,0.5614035087719298,1.0,5
61,1,78,0,0,0.0,0.0,0.0,0.5689655172413793,1.0,0
62,1,78,1,1,0.3333333333333333,0.8,2.4849066497880004,0.559322033898305,1.0,1
63,0,78,1,0,0.3076923076923077,0.8,2.5649493574615367,0.55,1.0,1
64,1,78,0,0,0.35714285714285715,0.8,2.6390573296152584,0.5573770491803278,1.0,0
65,1,78,1,1,0.0,0.0,0.0,0.5483870967741935,1.0,1
66,1,78,1,1,0.3333333333333333,0.8,2.70805020110221,0.5396825396825397,1.0,3
67,0,54,1,0,0.0,0.0,0.0,0.53125,1.0,0
68,0,78,1,0,1.0,1.0,0.0,0.5384615384615384,1.0,3
69,1,78,0,8,0.3333333333333333,0.3333333333333333,1.0986122886681098,0.5454545454545454,1.0,8
70,0,78,1,4,0.0,0.0,0.0,0.5373134328358209,1.0,13
71,0,78,0,1,0.25,0.25,1.3862943611198906,0.5441176470588235,1.0,1
72,0,78,0,6,0.0,0.0,0.0,0.5507246376811594,1.0,6
73,0,78,0,1,0.0,0.0,0.0,0.5571428571428572,1.0,1
74,1,78,0,3,1.0,1.0,0.6931471805599453,0.5633802816901409,1.0,3
75,0,78,1,0,0.6666666666666666,0.6666666666666666,1.0986122886681098,0.5555555555555556,1.0,4
76,0,78,0,2,0.0,0.0,0.0,0.5616438356164384,1.0,2
77,0,54,0,29,0.0,0.0,0.0,0.5675675675675675,1.0,29
78,0,78,0,0,0.0,0.0,0.0,0.5733333333333334,1.0,0
79,0,78,0,2,1.0,1.0,0.0,0.5789473684210527,1.0,2
80,1,54,0,2,1.0,1.0,0.6931471805599453,0.5844155844155844,1.0,2
81,0,78,0,2,0.0,0.0,0.0,0.5769230769230769,1.0,2
82,0,54,1,9,0.0,0.0,0.0,0.5822784810126582,1.0,12
83,0,78,0,11,0.6666666666666666,0.6666666666666666,1.0986122886681098,0.5875,1.0,11
84,0,78,0,0,0.75,0.75,1.3862943611198906,0.5925925925925926,1.0,0
85,0,78,0,2,0.0,0.0,0.0,0.5975609756097561,1.0,2
86,1,54,0,7,0.0,0.0,0.0,0.6024096385542169,1.0,7
87,1,78,0,1,0.0,0.0,0.0,0.5952380952380952,1.0,1
88,0,78,1,4,0.0,0.0,0.0,0.5882352941176471,1.0,5
89,0,78,0,0,0.4,0.4,1.6094379124341003,0.5930232558139535,1.0,0
90,0,78,0,3,0.0,0.0,0.0,0.5977011494252874,1.0,3
91,0,78,0,0,0.0,0.0,0.0,0.6022727272727273,1.0,0
92,0,78,0,0,1.0,1.0,0.0,0.6067415730337079,1.0,0
93,1,78,0,2,1.0,1.0,0.0,0.6111111111111112,1.0,2
94,0,78,1,1,0.0,0.0,0.0,0.6043956043956044,1.0,4
95,1,78,0,7,0.3125,0.8,2.772588722239781,0.6086956521739131,1.0,7
96,0,78,1,1,1.0,1.0,0.0,0.6021505376344086,1.0,8
97,0,78,0,4,0.29411764705882354,0.8,2.833213344056216,0.6063829787234043,1.0,4
98,0,78,0,7,0.0,0.0,0.0,0.6105263157894737,1.0,7
99,1,78,0,4,0.0,0.0,0.0,0.6145833333333334,1.0,4
100,0,78,1,21,0.0,0.0,0.0,0.6082474226804123,1.0,25
101,0,78,0,0,1.0,1.0,0.0,0.6122448979591837,1.0,0
102,1,78,0,3,1.0,1.0,0.6931471805599453,0.6161616161616161,1.0,3
103,1,78,1,0,0.6666666666666666,0.6666666666666666,1.0986122886681098,0.61,1.0,3
104,1,78,1,0,0.5,0.5,1.3862943611198906,0.6039603960396039,1.0,3
105,1,78,1,5,0.4,0.4,1.6094379124341003,0.5980392156862745,1.0,9
106,0,78,1,7,0.0,0.0,0.0,0.5922330097087378,1.0,16
107,1,78,0,0,0.5,0.5,0.6931471805599453,0.5961538461538461,1.0,0
108,1,78,1,10,0.0,0.0,0.0,0.5904761904761905,1.0,10
109,1,78,1,10,0.0,0.0,0.0,0.5849056603773585,1.0,21
110,1,78,1,1,0.0,0.0,0.0,0.5794392523364486,1.0,22
111,1,78,1,0,0.0,0.0,0.6931471805599453,0.5740740740740741,1.0,22
112,0,78,1,7,0.0,0.0,0.0,0.5688073394495413,1.0,30
113,0,78,0,0,1.0,1.0,0.0,0.5727272727272728,1.0,0
114,1,78,0,3,0.0,0.0,0.0,0.5765765765765766,1.0,3
115,0,78,1,0,0.0,0.0,0.0,0.5714285714285714,1.0,4
116,1,78,0,0,0.0,0.0,0.0,0.5752212389380531,1.0,0
117,0,78,1,0,1.0,1.0,0.6931471805599453,0.5701754385964912,1.0,1
118,0,54,1,115,0.0,0.0,0.0,0.5739130434782609,1.0,122
119,1,78,0,5,0.0,0.0,0.0,0.5775862068965517,1.0,5
120,0,54,0,7,1.0,1.0,1.0986122886681098,0.5726495726495726,1.0,7
121,0,54,0,0,1.0,1.0,1.3862943611198906,0.576271186440678,1.0,0
122,1,78,1,3,0.0,0.0,0.0,0.5798319327731093,1.0,9
123,0,78,1,3,1.0,1.0,1.0986122886681098,0.575,1.0,13
124,0,78,0,0,0.0,0.0,0.0,0.5785123966942148,1.0,0
125,1,78,0,3,0.0,0.0,0.0,0.5819672131147541,1.0,3
126,0,78,1,1,0.0,0.0,0.0,0.5772357723577236,1.0,4
127,1,78,0,23,0.0,0.0,0.0,0.5806451612903226,1.0,23
128,0,78,1,7,0.0,0.0,0.6931471805599453,0.576,1.0,30
129,0,78,0,2,0.0,0.0,0.0,0.5793650793650794,1.0,2
130,1,78,0,0,1.0,1.0,0.0,0.5826771653543307,1.0,0
131,0,78,1,3,0.0,0.0,0.0,0.578125,1.0,3
132,1,78,0,3,0.0,0.0,0.0,0.5813953488372093,1.0,3
133,0,78,1,2,1.0,1.0,0.0,0.5769230769230769,1.0,6
134,0,54,0,55,0.0,0.0,0.0,0.5801526717557252,1.0,55
135,0,78,0,7,0.3333333333333333,0.3333333333333333,1.0986122886681098,0.5833333333333334,1.0,7
136,0,78,0,9,0.0,0.0,0.0,0.5864661654135338,1.0,9
137,1,78,0,2,1.0,1.0,0.0,0.5895522388059702,1.0,2
139,1,78,1,0,0.0,0.0,0.0,0.5851851851851851,1.0,3
142,0,78,1,6,0.0,0.0,0.0,0.5808823529411765,1.0,9
144,1,78,0,1,0.3333333333333333,0.3333333333333333,1.0986122886681098,0.583941605839416,1.0,1
147,1,78,1,2,0.0,0.0,0.0,0.5797101449275363,1.0,3
148,1,78,1,0,0.0,0.0,0.0,0.5755395683453237,1.0,4
149,1,78,1,0,0.0,0.0,0.6931471805599453,0.5714285714285714,1.0,4
